yyyy-mm-dd hh:mm:ss,W/m²
2020-06-13 06:00:00,70.46666666666667
2020-06-13 06:15:00,87.06666666666666
2020-06-13 06:30:00,106.73333333333333
2020-06-13 06:45:00,195.53333333333333
2020-06-13 07:00:00,141.4
2020-06-13 07:15:00,99.53333333333333
2020-06-13 07:30:00,232.6
2020-06-13 07:45:00,435.3333333333333
2020-06-13 08:00:00,500.3333333333333
2020-06-13 08:15:00,312.2
2020-06-13 08:30:00,225.8
2020-06-13 08:45:00,229.66666666666666
2020-06-13 09:00:00,500.8
2020-06-13 09:15:00,681.2
2020-06-13 09:30:00,626.3333333333334
2020-06-13 09:45:00,489.93333333333334
2020-06-13 10:00:00,410.26666666666665
2020-06-13 10:15:00,693.4666666666667
2020-06-13 10:30:00,719.0666666666667
2020-06-13 10:45:00,740.4
2020-06-13 11:00:00,760
2020-06-13 11:15:00,778.0666666666667
2020-06-13 11:30:00,791.3333333333334
2020-06-13 11:45:00,795.4
2020-06-13 12:00:00,814.6
2020-06-13 12:15:00,800.6666666666666
2020-06-13 12:30:00,701.2666666666667
2020-06-13 12:45:00,909.0666666666667
2020-06-13 13:00:00,712.4
2020-06-13 13:15:00,865.6
2020-06-13 13:30:00,684
2020-06-13 13:45:00,282.6666666666667
2020-06-13 14:00:00,50.86666666666667
2020-06-13 14:15:00,61.86666666666667
2020-06-13 14:30:00,38.46666666666667
2020-06-13 14:45:00,32.4
2020-06-13 15:00:00,31.8
2020-06-13 15:15:00,28.866666666666667
2020-06-13 15:30:00,31.6
2020-06-13 15:45:00,29.466666666666665
2020-06-13 16:00:00,22
2020-06-13 16:15:00,33.13333333333333
2020-06-13 16:30:00,30
2020-06-13 16:45:00,9.8
2020-06-13 17:00:00,1.6
2020-06-13 17:15:00,3.1333333333333333
2020-06-13 17:30:00,4
2020-06-13 17:45:00,4.6
2020-06-13 18:00:00,5.666666666666667
2020-06-13 18:15:00,5.133333333333333
2020-06-13 18:30:00,3.3333333333333335
2020-06-13 18:45:00,3
2020-06-13 19:00:00,3
2020-06-13 19:15:00,3.8666666666666667
2020-06-13 19:30:00,4
2020-06-13 19:45:00,4.733333333333333
2020-06-13 20:00:00,6
2020-06-13 20:15:00,4.4
2020-06-13 20:30:00,3.1333333333333333
2020-06-13 20:45:00,2.4
2020-06-13 21:00:00,1.1333333333333333
2020-06-13 21:15:00,0
2020-06-13 21:30:00,0
2020-06-13 21:45:00,0
2020-06-13 22:00:00,0
2020-06-13 22:15:00,0
2020-06-13 22:30:00,0
2020-06-13 22:45:00,0
2020-06-13 23:00:00,0
2020-06-13 23:15:00,0
2020-06-13 23:30:00,0
2020-06-13 23:45:00,0
2020-06-14 00:00:00,0
2020-06-14 00:15:00,0
2020-06-14 00:30:00,0
2020-06-14 00:45:00,0
2020-06-14 01:00:00,0
2020-06-14 01:15:00,0
2020-06-14 01:30:00,0
2020-06-14 01:45:00,0
2020-06-14 02:00:00,0
2020-06-14 02:15:00,0
2020-06-14 02:30:00,0
2020-06-14 02:45:00,0
2020-06-14 03:00:00,0
2020-06-14 03:15:00,0
2020-06-14 03:30:00,0
2020-06-14 03:45:00,0
2020-06-14 04:00:00,0
2020-06-14 04:15:00,1.3333333333333333
2020-06-14 04:30:00,3.066666666666667
2020-06-14 04:45:00,5.933333333333334
2020-06-14 05:00:00,9
2020-06-14 05:15:00,24.133333333333333
2020-06-14 05:30:00,50.53333333333333
2020-06-14 05:45:00,57
2020-06-14 06:00:00,59
2020-06-14 06:15:00,62.06666666666667
2020-06-14 06:30:00,70.33333333333333
2020-06-14 06:45:00,153.93333333333334
2020-06-14 07:00:00,138.66666666666666
2020-06-14 07:15:00,157.53333333333333
2020-06-14 07:30:00,147.8
2020-06-14 07:45:00,165.8
2020-06-14 08:00:00,138.13333333333333
2020-06-14 08:15:00,140.13333333333333
2020-06-14 08:30:00,132.2
2020-06-14 08:45:00,140.33333333333334
2020-06-14 09:00:00,152.66666666666666
2020-06-14 09:15:00,146.4
2020-06-14 09:30:00,127.93333333333334
2020-06-14 09:45:00,148.53333333333333
2020-06-14 10:00:00,164.4
2020-06-14 10:15:00,225.33333333333334
2020-06-14 10:30:00,338.6666666666667
2020-06-14 10:45:00,591.6666666666666
2020-06-14 11:00:00,369.6
2020-06-14 11:15:00,665.1333333333333
2020-06-14 11:30:00,409.93333333333334
2020-06-14 11:45:00,314.73333333333335
